variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
147,4,1,20,23,0.05,0.8695652173913043,4,0,1
363,21,2,19,19,0.10526315789473684,1.0,4,0,1
827,25,2,18,19,0.1111111111111111,0.9473684210526315,4,0,1
692,19,2,16,17,0.125,0.9411764705882353,4,0,1
64,18,2,15,17,0.13333333333333333,0.8823529411764706,4,0,2
969,13,2,15,20,0.13333333333333333,0.75,4,0,2
1645,15,2,15,18,0.13333333333333333,0.8333333333333334,4,0,1
1246,14,3,22,23,0.13636363636363635,0.9565217391304348,4,0,1
1868,4,3,21,21,0.14285714285714285,1.0,4,0,1
12,4,3,19,23,0.15789473684210525,0.8260869565217391,4,0,1
557,7,3,19,19,0.15789473684210525,1.0,4,0,2
998,0,3,19,19,0.15789473684210525,1.0,4,0,2
1378,25,3,19,20,0.15789473684210525,0.95,4,0,2
608,11,3,18,18,0.16666666666666666,1.0,4,0,2
935,19,3,18,21,0.16666666666666666,0.8571428571428571,4,0,2
1578,21,3,18,21,0.16666666666666666,0.8571428571428571,4,0,2
907,7,3,17,19,0.17647058823529413,0.8947368421052632,4,0,1
1529,15,3,17,19,0.17647058823529413,0.8947368421052632,4,0,2
1623,2,3,17,20,0.17647058823529413,0.85,4,0,2
1782,21,3,17,17,0.17647058823529413,1.0,4,0,2
3,2,3,16,22,0.1875,0.7272727272727273,4,0,1
455,2,3,16,23,0.1875,0.6956521739130435,4,0,1
700,23,3,16,17,0.1875,0.9411764705882353,4,0,1
714,8,3,16,18,0.1875,0.8888888888888888,4,0,1
997,14,3,16,16,0.1875,1.0,4,0,1
1184,2,3,16,19,0.1875,0.8421052631578947,4,0,1
178,7,3,15,17,0.2,0.8823529411764706,4,0,2
1356,0,3,15,16,0.2,0.9375,4,0,1
1921,23,3,15,16,0.2,0.9375,4,0,1
1926,28,3,14,16,0.21428571428571427,0.875,4,0,2
433,2,3,13,21,0.23076923076923078,0.6190476190476191,4,0,2
1393,13,3,13,22,0.23076923076923078,0.5909090909090909,4,0,2
1194,30,4,21,21,0.19047619047619047,1.0,4,0,2
1771,27,4,21,23,0.19047619047619047,0.9130434782608695,4,0,2
803,11,4,20,23,0.2,0.8695652173913043,4,0,2
995,24,4,20,23,0.2,0.8695652173913043,4,0,2
1120,31,4,20,23,0.2,0.8695652173913043,4,0,2
1313,21,4,20,22,0.2,0.9090909090909091,4,0,3
1511,3,4,20,21,0.2,0.9523809523809523,4,0,2
1691,6,4,20,21,0.2,0.9523809523809523,4,1,1
1808,28,4,20,20,0.2,1.0,4,0,2
2003,25,4,20,21,0.2,0.9523809523809523,4,0,2
346,22,4,19,22,0.21052631578947367,0.8636363636363636,4,0,2
485,19,4,19,19,0.21052631578947367,1.0,4,0,2
488,2,4,19,24,0.21052631578947367,0.7916666666666666,4,0,2
561,13,4,19,20,0.21052631578947367,0.95,4,0,2
653,30,4,19,20,0.21052631578947367,0.95,4,0,3
1054,26,4,19,21,0.21052631578947367,0.9047619047619048,4,0,2
1486,17,4,19,19,0.21052631578947367,1.0,4,0,2
1527,25,4,19,22,0.21052631578947367,0.8636363636363636,4,0,2
174,17,4,18,25,0.2222222222222222,0.72,4,0,3
333,21,4,18,19,0.2222222222222222,0.9473684210526315,4,1,1
353,15,4,18,19,0.2222222222222222,0.9473684210526315,4,0,2
419,10,4,18,20,0.2222222222222222,0.9,4,0,2
471,8,4,18,19,0.2222222222222222,0.9473684210526315,4,0,2
565,13,4,18,21,0.2222222222222222,0.8571428571428571,4,0,2
810,28,4,18,20,0.2222222222222222,0.9,4,1,1
864,2,4,18,20,0.2222222222222222,0.9,4,0,2
1139,17,4,18,24,0.2222222222222222,0.75,4,0,2
